Name,Race,Age,AgeDesc,Role,RoleDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Cha,PhysicalDescs,Session Notes
 Aaryn Kotnen Ressurn,Drow Elf,223,Young Adult,General ,the chief commander of an army.,Connect to Others: Intimacy,Barbarian,He/They,Either,8,14,13,15,17,7," Aaryn has drab, lilac eyes with short, red hair and is tall.  Aaryn is gullible and has a sniffle.",
 Alexa Cravalor,Dwarf,377,Extremely Old,Instrument Maker ,makes and repairs musical instruments.,Leave a Mark: Power,Sorceror,She/Her,Feminine,15,10,18,12,14,16," Alexa has muddy, bronze eyes with long, black hair and is very short.  Alexa cannot do math and has a cigar.",
 Natalia Kafa Trad,Elf,84,Child,Thresher ,separates grain from the plants by beating.,Provide Structure: Innovation,Cleric,She/They,Either,15,16,13,4,9,6," Natalia has squinted, bronze eyes with short, dirty blonde hair and is short.  Natalia cannot do math and has branded forearm.",
 Yak Hozova Ellemon,Lightfoot Halfling,141,Old,Grocer ,a food merchant.,Leave a Mark: Mastery,Fighter,They/Them,Masculine,14,10,15,14,8,12," Yak has bold, cerulean eyes with long, blonde hair and is of average height.  Yak is disloyal and has a cigar.",
 Pera Krut Trorron,Half-Orc,7,Child,Cartographer ,a scholar and illustrator of maps.,Leave a Mark: Power,Rogue,She/They,Either,13,17,15,12,10,10," Pera has bold, green eyes with medium-length, dirty blonde hair and is very tall.  Pera hates dwarves and has a cigar.",
 Theodus IyuTeiran,Tiefling,83,Old,Chaplain ,"a member of the clergy attached to a private chapel, institution, ship, branch of the armed forces, etc.",Connect to Others: Pleasure,Monk,He/They,Masculine,14,18,17,11,11,12," Theodus has colorless, auburn eyes with short, sheer black hair and is somewhat short.  Theodus hates halflings and has tattoos framing their face.",
 Hazel ShanuYahaj,Half-Orc,20,Young Adult,Entomologist ,studies or is an expert in the branch of zoology concerned with insects.,Leave a Mark: Mastery,Bard,He/They,Masculine,8,13,9,9,17,15," Hazel has winged, brass eyes with short, sheer black hair and is very tall.  Hazel is disloyal and has a cigar.",
 Andrus Kentobhim,Hill Dwarf,258,Old,Ex-Criminal ,"a person who has been convicted of a crime and has since served their sentence, or who has preemptively given up their life of crime.",Provide Structure: Service,Rogue,He/Him,Either,14,8,11,14,16,14," Andrus has opaque, blue coral eyes with short, blonde hair and is somewhat short.  Andrus cannot stand clutter or dirtiness and has a smirk.",
 Mychael Gaerqarim,Dwarf,187,Middle Aged,Nurse ,"cares for the sick or infirm, especially in a hospital.",Provide Structure: Control,Bard,He/Him,Either,15,9,18,16,12,15," Mychael has bright, sapphire eyes with short, forest green hair and is very tall.  Mychael is sloppy and has a cigar.",
 Lyncon Crebilat,Human,75,Old,Admiral ,commands a fleet or naval squadron.,Connect to Others: Pleasure,Barbarian,She/They,Masculine,15,13,14,17,14,13," Lyncon has vivd, azure eyes with short, black hair and is short.  Lyncon has a gambling problem and has a rose lapel.",
 Skarlya VrikTeln,Tiefling,45,Middle Aged,Purser ,"keeps the accounts of a ship, especially as the head steward on a passenger vessel.",Connect to Others: Belonging,Monk,He/They,Feminine,13,11,12,16,12,15," Skarlya has sooty, beige eyes with long, dark brown hair and is very short.  Skarlya hates dwarves and has tattoos framing their face.",
 Maximo Ubheko,Human,55,Middle Aged,Chancellor ,a senior state or legal official.,Provide Structure: Service,Ranger,He/They,Feminine,14,17,10,14,11,17," Maximo has pale, rose eyes with medium-length, brown hair and is tall.  Maximo is sloppy and has a limp.",
