Name,Race,Age,AgeDesc,Role,RoleDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Cha,Session Notes
 Isabel Ter’larn Zustur,Drow Elf,95,Child,Stuntman/Stuntwoman ,performs dangerous stunts for their audience.,Provide Structure: Control,Paladin,He/They,Feminine,12,15,11,14,13,14,
 Matyus VrentZii,Half-Orc,36,Middle Aged,Embroiderer ,ornaments with needlework.,Espiritual Journey: Freedom,Sorceror,He/They,Feminine,5,13,12,16,9,16,
 Natan Zoxzott Soslit,Human,7,Child,Baker ,bakes bread and cakes.,Provide Structure: Service,Warlock,He/They,Masculine,11,10,10,10,18,13,
 Perya Vlees’khuul Grol,Elf,467,Middle Aged,Inspection Officer ,responsible for the inspection of military units to ensure they meet appropriate standards of training and efficiency.,Provide Structure: Service,Barbarian,They/Them,Masculine,13,14,15,15,17,15,
 Xavius Thotlin Jegh,Stout Halfling,75,Middle Aged,Contortionist ,twists and bends their body into strange and unnatural positions.,Provide Structure: Control,Rogue,They/Them,Feminine,9,12,17,12,11,10,
 Eva Trakoris,Wood Elf,142,Young Adult,Templar ,fights in a religious military order.,Provide Structure: Service,Barbarian,They/Them,Masculine,17,15,6,11,11,10,
 Cavo NiethHic,Tiefling,21,Young Adult,Furniture Artisan ,makes and repairs furniture.,Connect to Others: Intimacy,Barbarian,They/Them,Masculine,13,18,5,16,16,19,
 Karlus Soevaqath,Stout Halfling,82,Middle Aged,Poacher ,hunts illegal game.,Connect to Others: Pleasure,Artificer,She/They,Either,17,13,12,13,11,20,
 Teodoro Mifa Velladog,Half-Elf,71,Young Adult,Actuary ,compiles and analyzes statistics and uses them to calculate risk.,Leave a Mark: Mastery,Monk,She/They,Either,11,17,15,11,17,16,
 Guan VartSei,Wood Elf,372,Middle Aged,Marshall ,has the charge of the cavalry in the household of a monarch.,Provide Structure: Control,Bard,He/They,Feminine,16,14,13,11,17,15,
