,Name,Race,Age,AgeDesc,Values,Preferred Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Session Notes
0, Brynn ZikTo,Gnome,126,Young Adult,Leave a Mark: Power,Warlock,She/Her,Feminine,12,7,14,10,17,
1, Bryne ZholYal,Gnome,370,Old,Espiritual Journey: Freedom,Wizard,He/Him,Feminine,15,10,18,15,14,
2, Oyara Gimkhosan,Mountain Dwarf,168,Middle Aged,Connect to Others: Belonging,Paladin,She/Her,Masculine,16,13,15,11,16,
3, Mathew Xavovar,Halfling,114,Old,Provide Structure: Innovation,Warlock,They/Them,Either,14,16,12,11,11,
4, Liamo Mifa Velladog,Half-Elf,46,Young Adult,Connect to Others: Intimacy,Rogue,She/They,Masculine,10,10,12,9,17,
5, Jianna Bluemountain,Half-Orc,75,Extremely Old,Provide Structure: Innovation,Druid,She/Her,Either,10,19,8,13,17,
6, Isimos Entikox,Dragonborn,45,Middle Aged,Provide Structure: Service,Barbarian,She/They,Feminine,15,13,9,12,14,
7, Chirles Denadi Drod,Stout Halfling,56,Young Adult,Espiritual Journey: Knowledge,Sorceror,She/They,Feminine,11,10,10,15,12,
8, Oyara Zoxzott Soslit,Dwarf,137,Young Adult,Connect to Others: Intimacy,Fighter,He/They,Masculine,15,14,19,14,14,
9, Lucae GiedYitt,Forest Gnome,99,Young Adult,Provide Structure: Control,Paladin,He/Him,Masculine,14,16,9,12,14,
10, Aendrea Davudit Grullott,Mountain Dwarf,105,Young Adult,Espiritual Journey: Freedom,Sorceror,She/Her,Either,6,14,15,15,7,
11, Han Comdussi,Stout Halfling,59,Young Adult,Espiritual Journey: Freedom,Sorceror,She/They,Feminine,13,11,14,14,10,
12, Kefjan Thihxaurn Zom,Half-Orc,66,Old,Connect to Others: Belonging,Barbarian,She/They,Masculine,16,13,17,10,15,
13, Jacob Bomkhibhor,Wood Elf,405,Middle Aged,Leave a Mark: Liberation,Fighter,She/They,Either,11,13,14,13,15,
14, Aemy Horqarim,Forest Gnome,61,Young Adult,Provide Structure: Control,Ranger,She/They,Feminine,12,11,15,10,18,
15, Joshen DelochLaranm,Forest Gnome,193,Young Adult,Leave a Mark: Mastery,Monk,They/Them,Either,13,12,13,10,15,
16, Avaery UktOt,Lightfoot Halfling,111,Old,Connect to Others: Belonging,Bard,She/Her,Either,10,11,9,14,18,
17, Dammos Vylxipha,Rock Gnome,158,Young Adult,Provide Structure: Control,Sorceror,He/Him,Masculine,18,16,15,12,16,
18, Isimos MeGiin,Half-Orc,36,Middle Aged,Connect to Others: Belonging,Warlock,She/They,Masculine,13,12,10,14,13,
19, Maedisa ZhentDi,Wood Elf,208,Young Adult,Leave a Mark: Liberation,Wizard,She/They,Masculine,15,9,14,6,10,
